Portfolio,Excess Return,CAPM Alpha,CAPM Alpha t-stat,CAPM R²,Three Factor Alpha,Three Factor Alpha t-stat,Three Factor R²,Four Factor Alpha,Four Factor Alpha t-stat,Four Factor R²,Beta (Ex-Ante),Volatility,Sharpe Ratio
1,0.27313389487721346,0.26067312879465815,5.8482023368874625,0.1660213717142991,0.18728579064606568,3.8504460909984752,0.21164895745499102,0.18294728921649595,3.6992639883943563,0.21268880114989575,0.53395861,0.6964435644343,1.358564591176258
2,0.26949940600748323,0.24557998381929996,7.836331163900714,0.5974093532664864,0.15344898064840307,4.833286154246163,0.6720019811360866,0.15378405062579148,4.760913873744799,0.6720080381105656,0.80871101,0.7047545048145121,1.3246787657993049
3,0.20059693575172563,0.17309758245013487,5.649059369808436,0.6722979220848055,0.09307747246307493,2.9267107106317325,0.7197768898155719,0.09047737872328701,2.7977732450816566,0.720087423617729,0.96843173,0.7637738436225691,0.9098088065354423
4,0.20194395961578943,0.16266876376378483,4.547858183065603,0.7543727953797543,0.059226001942845385,1.6161355242829152,0.7953196496157617,0.07105131018594671,1.9222739452649262,0.7988530129784194,1.14505245,1.0297896803346906,0.6793177383997558
5,0.33692336432731773,0.2990373854912376,2.809542140064364,0.2439900015368649,0.10671288337253937,0.9238431270766934,0.2931783843441693,0.13033527370834175,1.1128861792119868,0.2980792946024783,1.59282429,1.7466893914302217,0.6681993812238328
