Portfolio,Excess Return,CAPM Alpha,CAPM Alpha t-stat,CAPM R²,Three Factor Alpha,Three Factor Alpha t-stat,Three Factor R²,Four Factor Alpha,Four Factor Alpha t-stat,Four Factor R²,Beta (Ex-Ante),Volatility,Sharpe Ratio
1,0.23805147724258338,0.24259261508511004,5.571725454221522,0.19338909273734417,0.18045215665723707,3.7580585590875883,0.2278427853879904,0.17746099575930743,3.6578126939967865,0.228722814897115,0.53540423,0.6923363736700322,1.1910893868404242
2,0.2253225839825175,0.23421655743307418,7.524041310613592,0.6427517008560297,0.12438227070009632,4.060287013583199,0.7276915422020014,0.12656687264999764,4.0898967638543375,0.7280982769627315,0.80559906,0.7437768616282994,1.049428084374752
3,0.16341508239439453,0.17325910622021404,5.596422676393298,0.690246720881524,0.07603435599293269,2.4229075619378233,0.7494980260813457,0.07532206354921782,2.374386974244127,0.749535930583174,0.96602899,0.7943994454464103,0.7125967346845022
4,0.16068546183754362,0.1745478685150437,5.143639265564582,0.7862302224189208,0.07510128323385658,2.164158541293363,0.8240476417012066,0.09051350027532948,2.6581747919934657,0.8342410113733001,1.14502446,1.0481711952919284,0.5310494796850074
5,0.27456412643400374,0.28783063050894836,2.725144858358222,0.2580073205623543,0.12413620730406262,1.070425905402802,0.29594137740829674,0.152849312090272,1.3156379061556216,0.30861773348084975,1.58624637,1.7510918740224146,0.5431571283887668
