Portfolio,Excess Return,Excess Return t-stat,CAPM Alpha,CAPM Alpha t-stat,CAPM R²,Three Factor Alpha,Three Factor Alpha t-stat,Three Factor R²,Four Factor Alpha,Four Factor Alpha t-stat,Four Factor R²,Beta (Ex-Ante),Volatility,Sharpe Ratio
Return_0,0.007727562687572868,2.7830330346300607,0.007584644094272338,2.6243651349134143,0.0003791242507998893,0.007922401556253851,2.7269733569197627,0.009244737218145893,0.007876441477089782,2.701375039879185,0.009562501340447338,0.8914043764576929,0.04407826035316345,0.6073075972740434
Return_1,0.010734514597492854,4.047130174627211,0.01080049163556322,3.9116357149180763,8.854572632277513e-05,0.011074189085509108,3.981275838780675,0.0046594821369800865,0.010967810212715427,3.931866770630532,0.0065251398551602335,1.6438548905514874,0.04210517800689438,0.8831562082175731
Return_2,0.009979870877680881,3.3761874884791547,0.010358002298730747,3.369904748173997,0.002341753895117704,0.01075392372547831,3.4813755921317595,0.011678514820734676,0.010561279677266071,3.414653548515027,0.016604647842143883,1.8411569201286913,0.04692439009796871,0.7367445107770749
Return_3,0.011106657109094534,3.582119778512856,0.011230671625565902,3.479710178245527,0.0002289343589145787,0.011488479402489926,3.535107451906747,0.005748702911063441,0.011165802486733375,3.444705380856824,0.01831018688412045,2.01198945582549,0.04922021778981044,0.7816826206396957
Return_4,0.010740685768456541,3.211433915774632,0.010936940059954728,3.141960513318148,0.0004927478429703758,0.011316154905174274,3.2323289347215653,0.00833850417948867,0.01106457663350775,3.159034690771174,0.014901043087240051,2.1174915365594633,0.05309251418322676,0.7007923337326518
Return_5,0.010549442669543987,2.991861051899885,0.010719663842496757,2.920763476529716,0.0003335058185268691,0.011143914712078814,3.015340655821016,0.005764133798668691,0.010815052630664786,2.9302393980766737,0.015853016797166997,2.2873363695578646,0.05597426074895282,0.6528776066248297
Return_6,0.011208599446851023,2.952439686483543,0.011416172065935237,2.889175980975614,0.000427811003274603,0.011798278097004723,2.9657032524772973,0.006188389472337463,0.011417252072568902,2.876071467832653,0.017871549474980153,2.4314168886223992,0.06026575272809233,0.6442751594334535
Return_7,0.008839316618628528,2.091148948316795,0.008828175199496935,2.006172734330125,9.941823063686073e-07,0.00907737255307941,2.0469460692851684,0.0039000922175158603,0.008675613794269888,1.9593126135731136,0.014377526316348366,2.6150014501788887,0.06710177259676063,0.4563261116709052
Return_8,0.006931422861575679,1.5407031439840684,0.006794067043970906,1.4507288834187437,0.0001333950504088799,0.00716752375427002,1.5205987729826795,0.006506603386795651,0.006713905869041192,1.4274947805996387,0.01829799771796159,2.9126591354799873,0.07141734419831844,0.33620898956016376
Return_9,0.002929007789375416,0.4959156791827816,0.002871569220351174,0.4670253216684133,1.3534253262226237e-05,0.002955633018472841,0.4769666165149094,0.0037633750172288982,0.002553939677792831,0.41170084541359553,0.00912820008186832,4.085261540982884,0.09375899804130415,0.10821767324621583
